"","site_id","collection_date","cdc_lineage","cdc_abundance","note","sample_id"
"1","UA","2025-08-11","NoneDetected",0,"LowCoverageSample","UA20250811"
"2","UD","2025-08-11","NoneDetected",0,"FailedVariantCalling","UD20250811"
"3","UD","2025-08-13","NoneDetected",0,"LowCoverageSample","UD20250813"
"4","UB","2025-08-14","JN.1",0.19504138227488,"Detection","UB20250814"
"5","UB","2025-08-14","Other",0.440564234099536,"Detection","UB20250814"
"6","UB","2025-08-14","XFG",0.364394383625583,"Detection","UB20250814"
"7","UE","2025-08-14","JN.1",0.372317461109295,"Detection","UE20250814"
"8","UE","2025-08-14","Other",0.244797236266261,"Detection","UE20250814"
"9","UE","2025-08-14","XFG",0.382885302624443,"Detection","UE20250814"
"10","UC","2025-08-14","NoneDetected",0,"LowCoverageSample","UC20250814"
"11","UA","2025-08-14","LP.8.1",0.289464736618437,"Detection","UA20250814"
"12","UA","2025-08-14","NB.1.8.1",0.21349814635952,"Detection","UA20250814"
"13","UA","2025-08-14","XDV.1",0.344901588607291,"Detection","UA20250814"
"14","UA","2025-08-14","XFG",0.152135528414752,"Detection","UA20250814"
