"","reporting_jurisdiction","county_names","other_jurisdiction","zipcode","population_served","sewage_travel_time","sample_location","sample_location_specify","institution_type","epaid","wwtp_name","wwtp_jurisdiction","capacity_mgd","industrial_input","stormwater_input","influent_equilibrated","sample_type","composite_freq","sample_matrix","collection_storage_time","collection_storage_temp","pasteurized","pretreatment","pretreatment_specify","solids_separation","concentration_method","extraction_method","pre_conc_storage_time","pre_conc_storage_temp","pre_ext_storage_time","pre_ext_storage_temp","tot_conc_vol","ext_blank","rec_eff_target_name","rec_eff_spike_matrix","rec_eff_spike_conc","pcr_target","pcr_gene_target","pcr_gene_target_ref","pcr_type","lod_ref","hum_frac_target_mic","hum_frac_target_mic_ref","hum_frac_target_chem","hum_frac_target_chem_ref","other_norm_name","other_norm_ref","quant_stan_type","stan_ref","inhibition_method","num_no_target_control","sample_collect_date","sample_collect_time","flow_rate","ph","conductivity","tss","collection_water_temp","equiv_sewage_amt","sample_id","lab_id","qc_ignore","analysis_ignore","validated_method","test_result_date","pcr_target_units","pcr_target_avg_conc","pcr_target_std_error","pcr_target_cl_95_lo","pcr_target_cl_95_up","pcr_target_below_lod","lod_sewage","ntc_amplify","rec_eff_percent","inhibition_detect","inhibition_adjust","hum_frac_mic_conc","hum_frac_mic_unit","hum_frac_chem_conc","hum_frac_chem_unit","other_norm_conc","other_norm_unit","quality_flag","major_lab_method","major_lab_method_desc","qc_internal"
"1","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",95,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"1/2/2024","7:00",0.78,NA,NA,NA,NA,44045,"UA20240102","CDPHE",NA,NA,NA,"1/4/2024","copies/L wastewater",NA,NA,NA,NA,"no",4000,"no",18.82105,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"2","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",95,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"1/4/2024","7:00",0.83,NA,NA,NA,NA,44045,"UA20240104","CDPHE",NA,NA,NA,"1/8/2024","copies/L wastewater",NA,NA,NA,NA,"no",4000,"no",23.39368,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"3","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",95,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"1/8/2024","7:00",0.78,NA,NA,NA,NA,44045,"UA20240108","CDPHE",NA,NA,NA,"1/10/2024","copies/L wastewater",NA,NA,NA,NA,"no",4000,"no",17.16211,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"4","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",95,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"1/11/2024","7:00",0.86,NA,NA,NA,NA,44045,"UA20240111","CDPHE",NA,NA,NA,"1/16/2024","copies/L wastewater",NA,NA,NA,NA,"no",4000,"no",11.47368,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"5","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"grab",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no",NA,"raw sample",95,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"1/16/2024","7:00",0.96,NA,NA,NA,NA,44045,"UA20240116","CDPHE",NA,NA,NA,"1/18/2024","copies/L wastewater",NA,NA,NA,NA,"no",4000,"no",18.36211,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"6","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",95,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"1/18/2024","7:00",0.91,NA,NA,NA,NA,44045,"UA20240118","CDPHE",NA,NA,NA,"1/22/2024","copies/L wastewater",181468,157924,181468,181468,"no",4000,"no",27.74737,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"7","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",95,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"1/22/2024","7:00",0.86,NA,NA,NA,NA,44045,"UA20240122","CDPHE",NA,NA,NA,"1/24/2024","copies/L wastewater",455220,229778,-63135,455220,"yes",4000,"no",18.80842,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"8","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no",NA,"raw sample",95,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"1/25/2024","7:00",0.87,NA,NA,NA,NA,44045,"UA20240125","CDPHE",NA,NA,NA,"1/30/2024","copies/L wastewater",NA,NA,NA,NA,"no",4000,"no",0,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"9","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Bio-Rad. (2021). Qualitative assay for use on the QX200(tm) and QXDx(tm) Droplet Digital(tm) PCR Systems: Instructions for Use. Retrieved from https://www.fda.gov/media/137579/download","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"1/29/2024","7:00",0.9,NA,NA,NA,NA,44045,"UA20240129","CDPHE",NA,NA,NA,"2/2/2024","copies/L wastewater",169259,32097,169259,169259,"no",4000,"no",0,"no","no",NA,NA,NA,NA,0,"","Below LOQ",NA,NA,NA
"10","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"2/1/2024","7:00",0.89,NA,NA,NA,NA,44045,"UA20240201","CDPHE",NA,NA,NA,"2/5/2024","copies/L wastewater",355148,88138,-225613,355148,"yes",4000,"no",55.88,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
