"","site_id","sample_collect_date","variant","abundance","DetectionStatus","sample_id","test_result_date","pcr_target","wwtp_name"
"1","UA","2025-03-09","KP.3",0.348565776259598,"Detection","UA20250309",2025-03-25,"sars-cov-2","Utility1"
"2","UA","2025-03-09","KP.3.1.1",0.32886492697702,"Detection","UA20250309",2025-03-25,"sars-cov-2","Utility1"
"3","UA","2025-03-09","Other",0.322569296763382,"Detection","UA20250309",2025-03-25,"sars-cov-2","Utility1"
"4","UA","2025-03-13","KP.1.1",0.14340054284384,"Detection","UA20250313",2025-03-25,"sars-cov-2","Utility1"
"5","UA","2025-03-13","KP.3.1.1",0.154029684024851,"Detection","UA20250313",2025-03-25,"sars-cov-2","Utility1"
"6","UA","2025-03-13","MC.19",0.212884546540533,"Detection","UA20250313",2025-03-25,"sars-cov-2","Utility1"
"7","UA","2025-03-13","Other",0.147996778915279,"Detection","UA20250313",2025-03-25,"sars-cov-2","Utility1"
"8","UA","2025-03-13","XEC",0.188533099810159,"Detection","UA20250313",2025-03-25,"sars-cov-2","Utility1"
"9","UA","2025-03-13","XEC.4",0.153155347865339,"Detection","UA20250313",2025-03-25,"sars-cov-2","Utility1"
"10","UA","2025-03-17","Insufficient Signal",0,"Insufficient Signal","UA20250317",2025-03-25,"sars-cov-2","Utility1"
"11","UA","2025-03-20","KP.3",0.281292468971728,"Detection","UA20250320",2025-03-31,"sars-cov-2","Utility1"
"12","UA","2025-03-20","KP.3.1.1",0.229573859321337,"Detection","UA20250320",2025-03-31,"sars-cov-2","Utility1"
"13","UA","2025-03-20","MC.1",0.291570701997162,"Detection","UA20250320",2025-03-31,"sars-cov-2","Utility1"
"14","UA","2025-03-20","MC.19",0.197562969709773,"Detection","UA20250320",2025-03-31,"sars-cov-2","Utility1"
"15","UA","2025-03-24","Insufficient Signal",0,"Insufficient Signal","UA20250324",2025-04-08,"sars-cov-2","Utility1"
"16","UA","2025-03-27","Insufficient Signal",0,"Insufficient Signal","UA20250327",2025-04-08,"sars-cov-2","Utility1"
